type,question,answer
UNTYPED,Who developed Windows 95?,Microsoft
UNTYPED,In which country is Vierlingsbeek located?,Netherlands
UNTYPED,What instrument does Giovanni Battista Viotti play?,violin
UNTYPED,For whom does Lyse Doucet work?,BBC
UNTYPED,Where is IJmuiden located?,Netherlands
UNTYPED,Where is the headquarter of WWE located?,Stamford
UNTYPED,What is the native language of Mathieu de Montmorency?,French
UNTYPED,What genre is The Enchanter Reborn a mix of?,fantasy
UNTYPED,What is the native language of Anne-Marie Idrac?,French
UNTYPED,What is the capital of the Spanish East Indies?,Manila
UNTYPED,Who employs Satoru Iwata?,Nintendo
UNTYPED,On which network was The Famous Teddy Z originally aired?,CBS
UNTYPED,In which city did John Major work?,London
UNTYPED,Where did The Young and the Restless premiere?,CBS
UNTYPED,What sport does LeBron James professionally play?,basketball
UNTYPED,What sport does Evgeni Malkin professionally play?,hockey
UNTYPED,What sport does Jarome Iginla professionally play?,hockey
UNTYPED,What is the official language of Peru?,Spanish
UNTYPED,What field does Lev Vygotsky work in?,psychology
UNTYPED,Who is developing Tizen?,Samsung
UNTYPED,Who developed Windows Media Player?,Microsoft
UNTYPED,What language is spoken in the Canton of Fribourg?,French
UNTYPED,Where can Fantastic Fest be found in the heart of downtown?,Austin
UNTYPED,What language is spoken in Pomarkku?,Finnish
UNTYPED,What area does Amos Tversky work in?,psychology
UNTYPED,Where is Euromoney Institutional Investor's headquarters located?,London
UNTYPED,What is David Weigel's profession similar to?,journalist
UNTYPED,What is the capital city of Commonwealth of England?,London
UNTYPED,What is the capital of Veneto?,Venice
UNTYPED,What country is Jean Bobet a citizen of?,France
UNTYPED,In which country is Isola Dovarese located?,Italy
UNTYPED,Where does Hotel Room premiere?,HBO
UNTYPED,What is the native language of Aleksey Khomyakov?,Russian
UNTYPED,Where is the headquarter of Smith & Wesson located?,Springfield
UNTYPED,Who produces Platform Controller Hub?,Intel
UNTYPED,Where did The New Dick Van Dyke Show debut?,CBS
UNTYPED,What is the capital of Ukraine?,Kiev
UNTYPED,Where is the headquarter of Fudan University?,Shanghai
UNTYPED,What instrument does Count Basie perform on?,piano
UNTYPED,Where is Leinster located?,Ireland
UNTYPED,What language is a mixture of Russian used by Musa Manarov?,Russian
UNTYPED,What is the native language of Yuliya Snigir?,Russian
UNTYPED,Where did Late Night with Jimmy Fallon premiere?,NBC
UNTYPED,Where did The Late Late Show with Craig Ferguson premiere?,CBS
