D,strategy,mean_auc,std_auc,sample_aucs
1,all_probes,0.8792937499999999,0.13608689051790887,"[np.float64(0.9821874999999999), np.float64(0.7191249999999999), np.float64(0.9686875), np.float64(0.7486562500000001), np.float64(0.99628125), np.float64(0.9176562500000001), np.float64(0.65765625), np.float64(0.9754687499999999), np.float64(0.9820937499999998), np.float64(0.98209375), np.float64(0.9933437499999999), np.float64(0.9961874999999999), np.float64(0.7497812500000002), np.float64(0.91815625), np.float64(0.60203125)]"
3,all_probes,0.9634375000000001,0.0446152037566792,"[np.float64(0.9196250000000002), np.float64(0.9335312499999999), np.float64(0.984375), np.float64(0.9960000000000001), np.float64(0.998), np.float64(0.9018437499999996), np.float64(0.9932187499999999), np.float64(0.84790625), np.float64(0.97771875), np.float64(0.99465625), np.float64(0.99434375), np.float64(0.9277187500000001), np.float64(1.0), np.float64(0.9946250000000001), np.float64(0.9879999999999999)]"
5,all_probes,0.9988291666666665,0.001423430544104266,"[np.float64(0.9991875), np.float64(0.99940625), np.float64(0.9999375), np.float64(0.9961874999999999), np.float64(1.0), np.float64(0.9976875), np.float64(0.9980625), np.float64(1.0), np.float64(0.9955937499999999), np.float64(0.99746875), np.float64(0.9997812500000001), np.float64(1.0), np.float64(0.99940625), np.float64(0.9997187499999999), np.float64(1.0)]"
7,all_probes,0.9995312500000001,0.0009012433541132818,"[np.float64(0.9983125000000002), np.float64(1.0), np.float64(0.9998437499999999), np.float64(0.9999062500000001), np.float64(0.99921875), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.99925), np.float64(1.0), np.float64(0.9998125), np.float64(0.9966249999999999), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
9,all_probes,0.9997854166666668,0.0005948856099191462,"[np.float64(0.99975), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9997812500000001), np.float64(0.9996875), np.float64(0.9999687500000001), np.float64(0.9975937500000001), np.float64(1.0)]"
11,all_probes,0.9999854166666666,2.9901458529988884e-05,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999062500000001), np.float64(0.9999375), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999375)]"
13,all_probes,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
15,all_probes,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
17,all_probes,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
20,all_probes,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
