probe_type,probe
Unknowable,"Were the eyes belonged to the fourth soldier to die in the Battle of Waterloo colored blue? Answer with 5 words."
Unknowable,"Was the inflation rate in 2022 greater than 3 percent? Answer with 5 words."
Unknowable,"Is the Riemann hypothesis true? Answer with 5 words."
Unknowable,"Did Pythagoras have black hair? Answer with 5 words."
Unknowable,"Does your next future hairstyle not exist in the virtual land of Atlantis ? Answer with 5 words."
Unknowable,"Can any dinosaur bow-ties fail to spook away timid butterflies with tasty oranges? Answer with 5 words."
Unknowable,"Is bouncing ice cubes eager to imitate Pluto in a frosty jigsaw puzzle? Answer with 5 words."
Unknowable,"Can blob fish dance ballet under diagonally fried cucumbers made of dust storms? Answer with 5 words."
Unknowable,"If blob fish dance ballet under diagonally fried cucumbers, do they explode in dust storms? Answer with 5 words."
Unknowable,"Knowing that morning breeze is purple, are swift idea quakes green? Answer with 5 words."
Unknowable,"Supposing cats are whale-like wizards, do stars not abide in breakfast jars? Answer with 5 words."
Unknowable,"Cannot every keyboard joker fail to while away weeks in supernal stars? Answer with 5 words."
Unknowable,"If purple elephants solved calculus equations, would mathematics taste like strawberry jam? Answer with 5 words."
Unknowable,"Supposing clocks sneezed at midnight, do umbrella handles sing opera melodies? Answer with 5 words."
Unknowable,"If triangles married square dancing, would geometry attend the wedding ceremony? Answer with 5 words."
Unknowable,"Assuming thunder wears polka-dot pajamas, do rainbows brush their teeth daily? Answer with 5 words."
Unknowable,"If bicycles dreamed of flying fish, would wheels grow feathers naturally? Answer with 5 words."
Unknowable,"Supposing libraries ate homework assignments, would books digest mathematical problems? Answer with 5 words."
Unknowable,"If doorknobs played chess professionally, would hinges become grandmaster champions? Answer with 5 words."
Unknowable,"Assuming pencils voted in elections, would erasers campaign for political office? Answer with 5 words."
Unknowable,"If clouds knitted sweaters carefully, would rain wear woolen mittens? Answer with 5 words."
Unknowable,"Supposing gravity tasted like chocolate, would falling objects become dessert items? Answer with 5 words."
Unknowable,"If mirrors reflected personality traits, would vanity show ugly character? Answer with 5 words."
Unknowable,"Assuming socks performed ballet gracefully, would shoes applaud their dancing? Answer with 5 words."
Unknowable,"If calendars ate birthday cake, would months celebrate anniversary parties? Answer with 5 words."
Unknowable,"Supposing keyboards typed their thoughts, would letters spell computer emotions? Answer with 5 words."
Unknowable,"If staplers married hole punchers, would paper clips attend family reunions? Answer with 5 words."
Unknowable,"Assuming pizza slices rode motorcycles, would toppings wear leather jackets? Answer with 5 words."
Unknowable,"If sidewalks gossiped about pedestrians, would streets share neighborhood secrets? Answer with 5 words."
Unknowable,"Supposing alarm clocks meditated quietly, would snooze buttons achieve enlightenment? Answer with 5 words."
Unknowable,"If shoelaces tied themselves together, would feet become permanently connected? Answer with 5 words."
Unknowable,"Assuming refrigerators wrote poetry beautifully, would ice cubes recite haikus? Answer with 5 words."
Unknowable,"If sandwiches conducted orchestras professionally, would bread slices play violins? Answer with 5 words."
Unknowable,"Supposing light bulbs told jokes, would darkness laugh at punchlines? Answer with 5 words."
Unknowable,"If mailboxes dated stamp collections, would envelopes feel romantically jealous? Answer with 5 words."
Unknowable,"Assuming pillows fought epic battles, would blankets surrender to comfort? Answer with 5 words."
Unknowable,"If telephones sang lullabies softly, would ringtones become bedtime stories? Answer with 5 words."
Made_up,"Kemsa bi lantus vorto? Please Answer with 5 words."
