adjective,noun1,verb,noun2,adverb
purple,elephants,solve,equations,beautifully
swift,fish,dance,ballet,diagonally
green,quakes,taste,jam,carefully
bouncing,cubes,imitate,Pluto,eagerly
blob,handles,sing,melodies,gracefully
rainbow,wheels,brush,teeth,professionally
polka-dot,triangles,marry,dancing,secretly
pythagorean,hair,discover,relationships,geometrically
feathered,bicycles,dream,fish,wildly
orange,butterflies,spook,bow-ties,mysteriously
jigsaw,ice,puzzle,Atlantis,virtually
woolen,mittens,knit,sweaters,gently
chocolate,gravity,digest,problems,mathematically
ugly,mirrors,reflect,traits,honestly
dancing,socks,perform,ballet,elegantly
computer,keyboards,type,thoughts,emotionally
leather,jackets,ride,motorcycles,rebelliously
neighborhood,sidewalks,gossip,secrets,quietly
enlightened,alarms,meditate,buttons,peacefully
permanent,shoelaces,tie,feet,automatically
poetic,refrigerators,recite,haikus,rhythmically
musical,sandwiches,conduct,orchestras,harmoniously
romantic,mailboxes,date,collections,passionately
epic,pillows,fight,battles,courageously
strawberry,libraries,eat,assignments,hungrily
grandmaster,doorknobs,play,chess,strategically
political,pencils,vote,elections,democratically
anniversary,calendars,celebrate,parties,festively
family,staplers,marry,punchers,ceremoniously
blue,soldiers,color,eyes,historically
inflated,rates,exceed,percentages,economically
battlefield,commanders,survey,landscapes,tactically
cucumber,dancers,perform,routines,acrobatically
