D,strategy,mean_auc,std_auc,sample_aucs
1,random,0.901978125,0.14422330677389442,"[np.float64(0.9669062499999997), np.float64(0.9965624999999999), np.float64(0.9850625), np.float64(0.9733124999999996), np.float64(0.9734687499999997), np.float64(0.9849687499999998), np.float64(0.9281874999999996), np.float64(0.985625), np.float64(0.8428125000000002), np.float64(0.9312812499999998), np.float64(0.8991250000000003), np.float64(0.48734374999999996), np.float64(0.8592500000000001), np.float64(0.9966250000000001), np.float64(0.9281249999999996), np.float64(0.9666874999999997), np.float64(0.9310937499999999), np.float64(0.9281874999999997), np.float64(0.48890625000000004), np.float64(0.9860312499999999)]"
3,random,0.9775859375,0.03356940669594817,"[np.float64(1.0), np.float64(0.9993125), np.float64(0.9154999999999998), np.float64(0.99684375), np.float64(1.0), np.float64(0.99840625), np.float64(0.9754687499999998), np.float64(0.9160937499999999), np.float64(0.99940625), np.float64(0.9048437500000002), np.float64(0.9825624999999999), np.float64(0.9751562500000001), np.float64(1.0), np.float64(0.91309375), np.float64(0.99821875), np.float64(1.0), np.float64(0.999375), np.float64(0.9996875000000001), np.float64(0.9911562499999998), np.float64(0.9865937500000002)]"
5,random,0.9970953124999999,0.003805301541825456,"[np.float64(0.9979687499999998), np.float64(0.9999687500000001), np.float64(0.9999375), np.float64(1.0), np.float64(0.99375), np.float64(0.9998437499999999), np.float64(0.9936874999999997), np.float64(0.9889374999999998), np.float64(0.9998437500000001), np.float64(0.9999375), np.float64(1.0), np.float64(0.99334375), np.float64(0.998625), np.float64(1.0), np.float64(1.0), np.float64(0.9997812500000001), np.float64(0.999375), np.float64(0.9927812499999998), np.float64(0.9883124999999999), np.float64(0.9958125000000001)]"
7,random,0.9991015625000002,0.002771028883685392,"[np.float64(0.9999375), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9997187499999999), np.float64(0.9995312500000001), np.float64(1.0), np.float64(0.98721875), np.float64(1.0), np.float64(0.999125), np.float64(1.0), np.float64(0.99975), np.float64(1.0), np.float64(0.99784375), np.float64(0.999625), np.float64(1.0), np.float64(0.9999375), np.float64(1.0), np.float64(0.9993437500000001)]"
9,random,0.9998703124999999,0.000285433298633418,"[np.float64(0.9999687500000001), np.float64(1.0), np.float64(0.9999375), np.float64(0.9999062500000001), np.float64(1.0), np.float64(0.9997187499999999), np.float64(1.0), np.float64(0.9999687500000001), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.99884375), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.99975), np.float64(0.9993124999999999), np.float64(1.0), np.float64(1.0)]"
11,random,0.9999953125,2.043233879782349e-05,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999062500000001), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
13,random,0.9999968750000001,1.3621559198557054e-05,"[np.float64(1.0), np.float64(1.0), np.float64(0.9999375), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
15,random,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
17,random,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
20,random,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
