label_raw,text,label_ocean,key,pA,pB,pC,pD,pE,chosen_trait
Gregariousness,Act wild and crazy,E,1,0.00033783913,0.000182271,0.00031733513,0.005367279,0.9912124,a closed
Anxiety,Are afraid that you will do the wrong thing,N,1,0.008720398,0.017608643,0.024841309,0.25488287,0.69238293,a closed
Emotionality,Are annoyed by others' mistakes,O,1,0.0015125275,0.0048446655,0.01638794,0.07940674,0.89453167,a closed
Anxiety,Are easily hurt,N,1,0.0028057098,0.0065231323,0.011627197,0.09436041,0.8818363,a closed
Emotionality,Are easily put out,O,1,0.005115509,0.012268066,0.01600647,0.15661627,0.8081057,a closed
Orderliness,Are exacting in your work,C,1,0.015579224,0.040405273,0.04724121,0.27172863,0.62207055,a closed
Assertiveness,Are not afraid of providing criticism,E,1,0.0019083023,0.0015335083,0.0032978058,0.13171393,0.85888696,a closed
Orderliness,Are not bothered by disorder,C,-1,0.003145218,0.001332283,0.001791954,0.23474127,0.7578127,a closed
Orderliness,Are not bothered by messy people,C,-1,0.013069153,0.0075645447,0.012275696,0.21765143,0.74804705,a closed
Emotionality,Are not easily annoyed,O,-1,0.0047721863,0.0032310486,0.005847931,0.16833502,0.81542987,a closed
Anxiety,Are not easily bothered by things,N,-1,0.0044898987,0.0026607513,0.0055007935,0.19384772,0.79101586,a closed
Emotionality,Are quick to judge others,O,1,0.0010604858,0.0014266968,0.0036716461,0.040405333,0.94873124,a closed
Friendliness,Are quiet around strangers,E,-1,0.021255493,0.03503418,0.07305908,0.17517096,0.69287133,a closed
Gregariousness,Are the last to laugh at a joke,E,-1,0.014030457,0.015411377,0.016143799,0.1373291,0.81542987,a closed
Gregariousness,Are the life of the party,E,1,0.00013434887,7.534027e-05,0.0001821518,0.006996155,0.9912118,a closed
Gregariousness,Areuse your friends,E,1,0.00680542,0.012710571,0.02607727,0.15246588,0.7988284,a closed
Dutifulness,Believe in one true religion,C,1,0.0044441223,0.007209778,0.02053833,0.10595703,0.8598635,a closed
Dutifulness,Believe laws should be strictly enforced,C,1,0.0463562,0.06958008,0.114746094,0.29760754,0.46826196,a closed
Dutifulness,Break rules,C,-1,0.00063610077,0.00047659874,0.00078582764,0.057281554,0.9389656,a closed
Assertiveness,Can take strong measures,E,1,0.0054512024,0.0115356445,0.014587402,0.21765143,0.7480471,a closed
Emotionality,Can't stand being contradicted,O,1,0.0030975342,0.006980896,0.0124435425,0.10253906,0.8720706,a closed
Intellect,Consider yourself an average person,O,-1,0.033233643,0.072631836,0.08898926,0.31542975,0.48852545,a closed
Orderliness,Continue until everything is perfect,C,1,0.006996155,0.013916016,0.01626587,0.24670416,0.7138674,a closed
Intellect,Counter others' arguments,O,1,0.0031166077,0.0068588257,0.011138916,0.14440924,0.8310551,a closed
Gregariousness,Dislike loud music,E,-1,0.0040626526,0.01096344,0.03375244,0.04837036,0.8984379,a closed
Imagination,Do things by the book,O,-1,0.714356,0.08532715,0.01210022,0.15698254,0.028579712,a closed
Imagination,Do things that others find strange,O,1,0.0014972687,0.0016183853,0.0026073456,0.049957275,0.94287163,a closed
Imagination,Do unexpected things,O,1,0.00054454803,0.00035429,0.000579834,0.027496338,0.9692391,a closed
Anxiety,Don't let others discourage me,N,-1,0.008453369,0.0079422,0.013511658,0.21813971,0.7495119,a closed
Gregariousness,Don't like crowded events,E,-1,0.037872314,0.06964111,0.09820557,0.18933111,0.60156274,a closed
Friendliness,Don't mind being the center of attention,E,1,0.0005426407,0.000426054,0.0011224747,0.030563354,0.9658206,a closed
Anxiety,Don't worry about things that have already happened,N,-1,0.0060577393,0.0077781677,0.01499939,0.06933594,0.89941436,a closed
Gregariousness,Enjoy being part of a loud crowd,E,1,0.0006041527,0.00053310394,0.0010852814,0.062561035,0.93408227,a closed
Imagination,Enjoy wild flights of fantasy,O,1,0.0002837181,0.00013613701,0.00023341179,0.00868988,0.98877084,a closed
Friendliness,Feel comfortable around people,E,1,0.0035991669,0.0045166016,0.0068855286,0.19812018,0.7832034,a closed
Anxiety,Feel crushed by setbacks,N,1,0.010154724,0.021499634,0.020202637,0.16394049,0.7822268,a closed
Anxiety,"Feel guilty when you say ""no.""",N,1,0.006843567,0.0118255615,0.020111084,0.16833502,0.7910158,a closed
Anxiety,Feel threatened easily,N,1,0.010093689,0.01586914,0.019454956,0.19958502,0.7529298,a closed
Friendliness,Find it difficult to approach others,E,-1,0.008407593,0.018936157,0.023208618,0.12744147,0.8178716,a closed
Emotionality,Get angry easily,O,1,0.00070524216,0.0016527176,0.0035266876,0.03479004,0.95507866,a closed
Orderliness,Get chores done right away,C,1,0.30053723,0.26928717,0.10882568,0.18798834,0.12927252,a closed
Intellect,Get confused easily,O,-1,0.0017776489,0.0027751923,0.0046463013,0.05932623,0.92822325,a closed
Emotionality,Get irritated easily,O,1,0.0016870499,0.0037727356,0.007270813,0.08856207,0.8945316,a closed
Emotionality,Have a good word for everyone,O,-1,0.004299164,0.0069770813,0.014091492,0.14013678,0.83203155,a closed
Intellect,Have a poor vocabulary,O,-1,0.0065460205,0.011138916,0.016204834,0.09326172,0.87109405,a closed
Friendliness,Have little to say,E,-1,0.020401001,0.029678345,0.034698486,0.1351319,0.777344,a closed
Gregariousness,Joke around a lot,E,1,0.0004067421,0.00036168098,0.0010385513,0.014228821,0.9819342,a closed
Emotionality,Judge people by their appearance,O,1,0.002193451,0.0029506683,0.006755829,0.04473877,0.9418948,a closed
Friendliness,Keep in the background,E,-1,0.048034668,0.080444336,0.080444336,0.27221692,0.51660174,a closed
Dutifulness,Know how to get around the rules,C,-1,0.0015277863,0.0021209717,0.0030384064,0.13537604,0.8559574,a closed
Intellect,Know that you are not a special person,O,-1,0.02746582,0.046020508,0.07354736,0.21606451,0.635254,a closed
Intellect,Know the answers to many questions,O,1,0.0040626526,0.008872986,0.024124146,0.13671881,0.824219,a closed
Intellect,Learn quickly,O,1,0.0015010834,0.0026760101,0.0084991455,0.17077637,0.8149415,a closed
Orderliness,Leave a mess in your room,C,-1,0.016571045,0.028640747,0.02909851,0.28027362,0.6416019,a closed
Orderliness,Leave your belongings around,C,-1,0.012817383,0.015701294,0.015701294,0.24194348,0.7109378,a closed
Assertiveness,Let yourself be pushed around,E,-1,0.012229919,0.012619019,0.011856079,0.22729498,0.7333987,a closed
Assertiveness,Let others make the decisions,E,-1,0.033477783,0.030975342,0.027770996,0.26342785,0.6420901,a closed
Orderliness,Like order,C,1,0.5629887,0.22741705,0.021484375,0.15625006,0.029373169,a closed
Imagination,Like to get lost in thought,O,1,0.0010051727,0.00084638596,0.00141716,0.06726074,0.9282229,a closed
Dutifulness,Like to stand during the national anthem,C,1,0.028198242,0.062561035,0.18103027,0.16735846,0.55761737,a closed
Gregariousness,Love large parties,E,1,0.00028300285,0.00021183491,0.00059890747,0.019378662,0.978516,a closed
Imagination,Love to daydream,O,1,0.00045657158,0.00027918816,0.00066947937,0.024353027,0.9726566,a closed
Friendliness,Make friends easily,E,1,0.00042939186,0.0004003048,0.0010061264,0.05987549,0.9365238,a closed
Intellect,Make insightful remarks,O,1,0.00096797943,0.0012140274,0.003124237,0.07110596,0.92187524,a closed
Assertiveness,Never challenge things,E,-1,0.045288086,0.042541504,0.024627686,0.32446295,0.560547,a closed
Friendliness,Often feel uncomfortable around others,E,-1,0.0025749207,0.008117676,0.0105896,0.07946783,0.89550835,a closed
Dutifulness,Oppose authority,C,-1,0.0011768341,0.0010881424,0.0012722015,0.057159424,0.9370122,a closed
Orderliness,Put off unpleasant tasks,C,-1,0.06640625,0.1060791,0.074035645,0.26660168,0.48291034,a closed
Intellect,Reflect on things before acting,O,1,0.06185913,0.10687256,0.06903076,0.35595715,0.40332043,a closed
Dutifulness,Resist authority,C,-1,0.0015716553,0.0022335052,0.0028686523,0.07513428,0.9155277,a closed
Dutifulness,Respect authority,C,1,0.13793951,0.19140631,0.1538086,0.27856457,0.23461926,a closed
Assertiveness,Say what you think,E,1,0.004436493,0.00969696,0.017547607,0.23120123,0.73486346,a closed
Imagination,Seldom daydream,O,-1,0.041534424,0.03555298,0.03186035,0.16430664,0.7250978,a closed
Imagination,Seldom get lost in thought,O,-1,0.017669678,0.016601562,0.020980835,0.21520996,0.72802746,a closed
Gregariousness,Seldom joke around,E,-1,0.023376465,0.025268555,0.0345459,0.14099121,0.7739259,a closed
Intellect,Skip difficult words while reading,O,-1,0.006248474,0.013023376,0.019866943,0.14001471,0.8183597,a closed
Anxiety,Spend time thinking about past mistakes,N,1,0.010574341,0.025772095,0.045928955,0.18457037,0.7299807,a closed
Friendliness,Start conversations,E,1,0.001996994,0.0034236908,0.0065994263,0.14794928,0.83789086,a closed
Imagination,Swim against the current,O,1,0.0015497208,0.0018987656,0.0020217896,0.08331299,0.9096682,a closed
Assertiveness,Take charge,E,1,0.000895977,0.0019874573,0.0047683716,0.1229859,0.86718774,a closed
Assertiveness,Take control of things,E,1,0.0056037903,0.012046814,0.019256592,0.24963385,0.71142596,a closed
Imagination,Take deviant positions,O,1,0.0013570786,0.00093984604,0.0008625984,0.049346924,0.9458013,a closed
Friendliness,Talk to a lot of different people at parties,E,1,0.0027370453,0.0034332275,0.0066184998,0.15783697,0.8271487,a closed
Intellect,Tend to analyze things,O,1,0.0063438416,0.012229919,0.02671814,0.3254395,0.6274415,a closed
Dutifulness,Try to follow the rules,C,1,0.29321307,0.1922608,0.0501709,0.38842803,0.07183844,a closed
Emotionality,Try to forgive and forget,O,-1,0.007003784,0.013084412,0.025222778,0.1922608,0.7602541,a closed
Intellect,Use your brain,O,1,0.0033493042,0.0060653687,0.011329651,0.18286139,0.7944338,a closed
Dutifulness,Use swear words,C,-1,0.0006966591,0.0012130737,0.003944397,0.01838684,0.9731455,a closed
Assertiveness,Wait for others to lead the way,E,-1,0.070007324,0.08581543,0.056274414,0.29956067,0.4860841,a closed
Assertiveness,Want to be in charge,E,1,0.0027751923,0.0051841736,0.012435913,0.15881354,0.81884784,a closed
Intellect,Weigh the pros against the cons,O,1,0.0769043,0.16027832,0.11730957,0.32885748,0.3139649,a closed
Anxiety,Worry about things,N,1,0.019577026,0.03491211,0.049224854,0.27465832,0.6186526,a closed
Agreeableness,Accept people as they are,A,1,0.030456543,0.048675537,0.05429077,0.30761725,0.557129,a closed
Achievement-striving,Accomplish a lot of work,C,1,0.010131836,0.05065918,0.0725708,0.22705084,0.636719,a closed
Adventurousness,Are a creature of habit,O,-1,0.6469732,0.16113287,0.009521484,0.16357434,0.016204834,a closed
Agreeableness,Are annoyed by others' mistakes,A,-1,0.0015125275,0.0048446655,0.01638794,0.07940674,0.89453167,a closed
Adventurousness,Are attached to conventional ways,O,-1,0.7597661,0.08795166,0.008056641,0.12792975,0.0143585205,a closed
Orderliness,Are continually losing things,C,-1,0.0012979507,0.0035552979,0.006000519,0.049469054,0.93359464,a closed
Agreeableness,Are easily offended,A,-1,0.0006952286,0.0014266968,0.0042915344,0.034301758,0.9565434,a closed
Extraversion,Are good at making impromptu speeches,E,1,0.00042557716,0.00030183792,0.00072956085,0.03201294,0.96533245,a closed
Gregariousness,Are hard to get to know,E,-1,0.0357666,0.05041504,0.051208496,0.23681647,0.6240236,a closed
Agreeableness,Are inclined to forgive others,A,1,0.002231598,0.0028438568,0.0070381165,0.14587408,0.83935577,a closed
Intellectual Openness,Are interested in many things,O,1,0.0007839203,0.0008544922,0.002286911,0.19335943,0.8012697,a closed
Agreeableness,Are not disturbed by events,A,1,0.017745972,0.014251709,0.018875122,0.26074225,0.68652356,a closed
Extraversion,Are not good at getting people to like me,E,-1,0.019714355,0.031021118,0.050354004,0.10827643,0.787598,a closed
Intellectual Openness,Are not interested in abstract ideas,O,-1,0.12915039,0.08874512,0.043945312,0.241211,0.49487317,a closed
Intellectual Openness,Are not interested in theoretical discussions,O,-1,0.08483887,0.0725708,0.056518555,0.23071295,0.5532228,a closed
Intellectual Openness,Are open to change,O,1,0.00031614304,0.00014936924,0.00027036667,0.040771484,0.95751995,a closed
Extraversion,Are skilled in handling social situations,E,1,0.0010499954,0.0013694763,0.0031089783,0.13012701,0.862305,a closed
Gregariousness,Avoid company,E,-1,0.0022068024,0.0066947937,0.0143966675,0.06762701,0.90478575,a closed
Gregariousness,Avoid contacts with others,E,-1,0.00178051,0.0055274963,0.0074386597,0.051635742,0.9296882,a closed
Orderliness,Can never find anything,C,-1,0.0124053955,0.018325806,0.018615723,0.11767584,0.82959014,a closed
Extraversion,Can talk others into doing things,E,1,0.0020427704,0.0033683777,0.0066986084,0.1622315,0.8242189,a closed
Intellectual Openness,Carry the conversation to a higher level,O,1,0.001036644,0.0025463104,0.004005432,0.11175543,0.87890655,a closed
Adventurousness,Dislike changes,O,-1,0.18554693,0.13574219,0.042053223,0.4592287,0.17431647,a closed
Adventurousness,Dislike the unknown,O,-1,0.12030029,0.14746094,0.07183838,0.293213,0.3647462,a closed
Achievement-striving,Do a lot in your spare time,C,1,0.001660347,0.0024166107,0.005619049,0.11462408,0.87402374,a closed
Achievement-striving,Do just enough work to get by,C,-1,0.023391724,0.04650879,0.0423584,0.32812506,0.5581056,a closed
Achievement-striving,Do more than what's expected of me,C,1,0.0016460419,0.0025691986,0.006164551,0.10101324,0.88671905,a closed
Orderliness,Do unpleasant tasks immediately,C,1,0.0149002075,0.028717041,0.04244995,0.2366944,0.67431664,a closed
Adventurousness,Don't like to travel,O,-1,0.0236969,0.045684814,0.051757812,0.18347174,0.69238305,a closed
Achievement-striving,Excel in what you do,C,1,0.007610321,0.02067566,0.029159546,0.25585943,0.6850588,a closed
Extraversion,Express yourself easily,E,1,0.0006904602,0.00057697296,0.0010280609,0.046539307,0.9497073,a closed
Gregariousness,Feel comfortable around people,E,1,0.0035991669,0.0045166016,0.0068855286,0.19812018,0.7832034,a closed
Extraversion,Find it difficult to approach others,E,-1,0.008407593,0.018936157,0.023208618,0.12744147,0.8178716,a closed
Achievement-striving,Find it difficult to get down to work,C,-1,0.021606445,0.053466797,0.059661865,0.32250988,0.54003924,a closed
