probe_type,probe
positiveHypotheticals,"Would teaspoons whistle symphonies when magnets learn origami?"
positiveHypotheticals,"Would telescopes giggle softly when hammocks practice meditation?"
positiveHypotheticals,"Would windmills bounce rhythmically when lanterns teach geography?"
positiveHypotheticals,"Do chandeliers shimmer triangularly when carousels brew coffee?"
positiveHypotheticals,"Do cushions glide vertically when pizzas translate ancient scrolls?"
positiveHypotheticals,"Can dewdrops cascade bumpy when raisins instruct cooking?"
positiveHypotheticals,"Can pickles spin octagonally when lemonade designs spacecraft?"
positiveHypotheticals,"Will thongs flow elliptically when paperclips coordinate festivals?"
positiveHypotheticals,"Should frisbees pulse hexagonally when cobwebs choreograph ballets?"
singleNegativeHypotheticals,"Would typewriters not hum gently when butterscotch attended gatherings?"
singleNegativeHypotheticals,"Would mittens sparkle brilliantly when marshmallows don't play chess?"
singleNegativeHypotheticals,"Would tambourines wobble energetically when kaleidoscopes don't bake cookies?"
singleNegativeHypotheticals,"Do feathers not ripple horizontally when peppermints referee tournaments?"
singleNegativeHypotheticals,"Do spatulas wiggle cylindrically when magnolias don't pilot helicopters?"
singleNegativeHypotheticals,"Can tablespoons not rotate pentagonally when birthday lights moderate panels?"
singleNegativeHypotheticals,"Can binoculars twinkle conically when compasses don't establish foundations?"
singleNegativeHypotheticals,"Will magnifying glasses not sway spirally when protractors create academies?"
singleNegativeHypotheticals,"Should almonds quiver diagonally when stamps don't collect vintage postcards?"
doubleNegativeHypotheticals,"Would lampshades not swirl gracefully when paperbacks don't compose operas?"
doubleNegativeHypotheticals,"Would briefcases not tumble obliquely when calculators don't educate philosophy?"
doubleNegativeHypotheticals,"Would thermostats not revolve dodecagonally when maple syrup don't direct galleries?"
doubleNegativeHypotheticals,"Do robots not prance zigzag when mushrooms don't publish magazines?"
doubleNegativeHypotheticals,"Do bananas not twirl polka-dotted when acorns don't oversee dentistry?"
doubleNegativeHypotheticals,"Can doorknobs not hop rhomboidally when cheese doesn't organize expeditions?"
doubleNegativeHypotheticals,"Can pencils not flap hexahedrally when mustard doesn't calibrate instruments?"
doubleNegativeHypotheticals,"Will toasters not meander cubically when olives don't found universities?"
doubleNegativeHypotheticals,"Should periwinkles not monitor satellites when violins don't audit financial records?"
isItTrueVariants,"Is it correct that carousels float upwards when spectacles write novels?"
isItTrueVariants,"Is it true that harmonicas roll sideways when feathers conduct orchestras?"
isItTrueVariants,"Is it correct that bubbles skip merrily when strawberries debate philosophy?"
isItTrueVariants,"Is it true that toothbrushes not slide fluidly when umbrellas study astronomy?"
isItTrueVariants,"Is it correct that accordions chirp loudly when fountain pens don't climb mountains?"
isItTrueVariants,"Is it true that notebooks stream prismatically when pencil sharpeners don't operate libraries?"
isItTrueVariants,"Is it correct that forks cannot wiggle polyhedrally when salt doesn't guide languages?"
isItTrueVariants,"Is it true that bowls never bounce torus-shaped when pepper doesn't moderate conferences?"
isItTrueVariants,"Is it true that spoons don't wave pyramid-shaped when sugar doesn't design curricula?"
isItFalseVariants,"Is it false that macaroni wiggles continuously when acorns create architecture?"
isItFalseVariants,"Is it untrue that jellyfish sway elegantly when raincoats study literature?"
isItFalseVariants,"Is it false that moonbeams spin rapidly when dandelions exercise yoga?"
isItFalseVariants,"Is it untrue that pebbles circulate quietly when dewdrops don't arrange festivals?"
isItFalseVariants,"Is it false that shoelaces not glow translucently when buttons pilot airplanes?"
isItFalseVariants,"Is it untrue that doorframes prance beautifully when hinges don't explore psychology?"
isItFalseVariants,"Is it false that silk never blinks iridescently when ribbons cannot perform surgery?"
isItFalseVariants,"Is it untrue that licorice cannot undulate velvety when waffles never sculpt statues?"
isItFalseVariants,"Is it false that tablecloths don't wave enigmatically when candles cannot research genetics?"
isItWrongVariants,"Is it wrong that cinnamon flows smoothly when coconuts interpret dreams?"
isItWrongVariants,"Is it incorrect that gumdrops spiral gently when crackers negotiate treaties?"
isItWrongVariants,"Is it wrong that rainbows hop enthusiastically when butterflies manufacture perfume?"
isItWrongVariants,"Is it incorrect that pretzels not glimmer magnificently when sailboats craft haikus?"
isItWrongVariants,"Is it wrong that zippers flutter mysteriously when volcanoes don't solve riddles?"
isItWrongVariants,"Is it incorrect that bookmarks tumble diagonally when staplers don't manage workshops?"
isItWrongVariants,"Is it wrong that marbles never vibrate seamlessly when gemstones don't coach kindergarten?"
isItWrongVariants,"Is it incorrect that velvet doesn't coil delicately when lace cannot host game shows?"
isItWrongVariants,"Is it wrong that curtains don't pour cryptically when drapes cannot investigate linguistics?"
