question_idx,truth,probe_question_idx,prob_yes,prob_no
1,1,0,0.996337890625,0.0033884048461914062
1,0,0,2.5331974029541016e-05,1.0
1,1,1,0.0019779205322265625,0.99822998046875
1,0,1,0.511383056640625,0.48736572265625
1,1,2,0.9991455078125,0.0007584691047668457
1,0,2,0.71197509765625,0.28778076171875
1,1,3,0.08890533447265625,0.91064453125
1,0,3,0.9849853515625,0.0150299072265625
1,1,4,0.5333251953125,0.466552734375
1,0,4,0.9993896484375,0.00039458274841308594
1,1,5,0.995849609375,0.003963470458984375
1,0,5,0.0018069744110107422,0.998046875
1,1,6,0.1797027587890625,0.82000732421875
1,0,6,0.997314453125,0.0025283098220825195
1,1,7,0.0006075501441955566,0.99951171875
1,0,7,0.951385498046875,0.04819774627685547
1,1,8,0.00010067224502563477,0.9996337890625
1,0,8,0.0032758712768554688,0.99688720703125
1,1,9,0.14559555053710938,0.8544921875
1,0,9,0.32717132568359375,0.67230224609375
1,1,10,0.03331613540649414,0.9666595458984375
1,0,10,0.12929725646972656,0.8703765869140625
1,1,11,0.0007651448249816895,0.9990615844726562
1,0,11,0.00033360719680786133,0.9990081787109375
1,1,12,0.1448822021484375,0.8546142578125
1,0,12,0.4383087158203125,0.5604400634765625
1,1,13,0.58447265625,0.4139404296875
1,0,13,0.047176361083984375,0.947021484375
1,1,14,0.854248046875,0.1453857421875
1,0,14,0.00771331787109375,0.991943359375
1,1,15,0.47119140625,0.5286865234375
1,0,15,0.4271240234375,0.5726318359375
1,1,16,0.0460052490234375,0.953369140625
1,0,16,0.15179443359375,0.8480224609375
1,1,17,0.006221294403076172,0.993560791015625
1,0,17,0.1993255615234375,0.80029296875
1,1,18,0.7339553833007812,0.2660636901855469
1,0,18,0.3545417785644531,0.6451568603515625
1,1,19,0.9608154296875,0.03917694091796875
1,0,19,0.886474609375,0.11334228515625
1,1,20,0.36297607421875,0.63671875
1,0,20,0.554351806640625,0.4454345703125
1,1,21,0.90380859375,0.09405517578125
1,0,21,0.03510284423828125,0.963134765625
1,1,22,0.27105712890625,0.728271484375
1,0,22,0.099853515625,0.8992919921875
1,1,23,0.9654541015625,0.0345001220703125
1,0,23,0.9378662109375,0.06189727783203125
1,1,24,0.16497802734375,0.8349609375
1,0,24,0.1181182861328125,0.8817138671875
1,1,25,0.999755859375,4.595518112182617e-05
1,0,25,0.973358154296875,0.0267181396484375
1,1,26,0.0010756254196166992,0.9989013671875
1,0,26,0.006987094879150391,0.992919921875
1,1,27,0.91802978515625,0.0818328857421875
1,0,27,0.1299896240234375,0.86968994140625
1,1,28,0.999847412109375,7.647275924682617e-05
1,0,28,0.993133544921875,0.006590366363525391
1,1,29,6.306171417236328e-05,1.000030517578125
1,0,29,0.0006708502769470215,0.9991455078125
1,1,30,0.5534210205078125,0.4466094970703125
