probe_type,probe
Unknowable,"Do purple elephants solve calculus equations beautifully?"
Unknowable,"Can blob fish dance ballet under diagonally fried cucumbers?"
Unknowable,"Are swift idea quakes green when morning breeze is purple?"
Unknowable,"Do stars abide in breakfast jars if cats are whale-like wizards?"
Unknowable,"Can keyboard jokers while away weeks in supernal stars?"
Unknowable,"Would mathematics taste like strawberry jam if purple elephants solved calculus?"
Unknowable,"Do umbrella handles sing opera melodies when clocks sneeze at midnight?"
Unknowable,"Would geometry attend the wedding if triangles married square dancing?"
Unknowable,"Do rainbows brush their teeth when thunder wears polka-dot pajamas?"
Unknowable,"Would wheels grow feathers if bicycles dreamed of flying fish?"
Unknowable,"Is it false that your future hairstyle cannot exist in virtual Atlantis?"
Unknowable,"Is it untrue that dinosaur bow-ties fail to spook butterflies with oranges?"
Unknowable,"Are bouncing ice cubes never eager to imitate Pluto in jigsaw puzzles?"
Unknowable,"Is it false that bouncing ice cubes are never eager to imitate Pluto in jigsaw puzzles?"
Unknowable,"Is it incorrect that blob fish cannot dance ballet under cucumbers?"
Unknowable,"Is it wrong that morning breeze fails to be purple?"
Unknowable,"Would books digest mathematical problems if libraries ate homework assignments?"
Unknowable,"Would hinges become grandmaster champions if doorknobs played chess professionally?"
Unknowable,"Would erasers campaign for political office if pencils voted in elections?"
Unknowable,"Would rain wear woolen mittens if clouds knitted sweaters carefully?"
Unknowable,"Would falling objects become dessert items if gravity tasted like chocolate?"
Unknowable,"Would vanity show ugly character if mirrors reflected personality traits?"
Unknowable,"Would shoes applaud their dancing if socks performed ballet gracefully?"
Unknowable,"Would months celebrate anniversary parties if calendars ate birthday cake?"
Unknowable,"Would letters spell computer emotions if keyboards typed their thoughts?"
Unknowable,"Would paper clips attend family reunions if staplers married hole punchers?"
Unknowable,"Is it false that toppings never wear leather jackets when pizza slices ride motorcycles?"
Unknowable,"Is it untrue that streets fail to share neighborhood secrets when sidewalks gossip?"
Unknowable,"Are snooze buttons never able to achieve enlightenment despite alarm clocks meditating?"
Unknowable,"Is it incorrect that feet cannot become permanently connected when shoelaces tie themselves?"
Unknowable,"Is it wrong that ice cubes fail to recite haikus when refrigerators write poetry?"
Unknowable,"Is it false that bread slices never play violins when sandwiches conduct orchestras?"
Unknowable,"Is it untrue that darkness fails to laugh at punchlines when light bulbs tell jokes?"
Unknowable,"Is it incorrect that envelopes cannot feel romantically jealous when mailboxes date stamp collections?"
Unknowable,"Is it wrong that blankets fail to surrender to comfort when pillows fight epic battles?"
