question_context,statement_context
"I am going to ask you a question.","I am going to tell you a statement."
"The following is a question:","The following is a statement:"
"Here is my question:","Here is my statement:"
"I have a question for you:","I have a statement for you:"
"Let me ask you something:","Let me tell you something:"
"I'd like to ask:","I'd like to state:"
"My question is:","My statement is:"
"The question I have is:","The statement I have is:"
"I want to ask:","I want to state:"
"Here's what I'm asking:","Here's what I'm stating:"
"The following is a query:","The following is a fact:"
"I have an inquiry:","I have an assertion:"
"Let me pose a question:","Let me make an assertion:"
"I'm going to inquire about:","I'm going to inform about:"
"Here is my inquiry:","Here is my assertion:"
"The question is:","The fact is:"
"I need to ask:","I need to tell:"
"My inquiry is:","My assertion is:"
"I'm asking:","I'm stating:"
"Question:","Statement:"
"One query I have is","One assertion I have is"
"Something I want to ask is","Something I want to state is"
"Here's my question -","Here's my statement -"
"What I'm wondering is","What I'm declaring is"
"The inquiry is","The declaration is"
"What I'm curious about is","What I'm informing you about is"
"A question for you is","A statement for you is"
"Let me ask you","Let me tell you"
"What I wonder is","What I declare is"
"My question -","My statement -"
"Something I need to ask is","Something I need to state is"
"The query I have is","The fact I have is"
"What I want to know is","What I want to share is"
"The thing I'm asking is","The thing I'm stating is"
"What I'm curious about","What I'm certain about"
"Here's what I wonder","Here's what I know"
"I'd like to inquire about","I'd like to inform about"
"A query I have is","A fact I have is"
"What I'm questioning is","What I'm confirming is"
"What I'm asking is","What I'm telling is"
"What I need to ask you is","What I need to tell you is"
"My question for you is","My statement for you is"
"What I want to ask is","What I want to state is"
"The question on my mind is","The fact on my mind is"
"What I'm wondering is","What I'm declaring is"
"What I'm going to ask is","What I'm going to state is"
"Here's my inquiry -","Here's my assertion -"
"What I'd like to know is","What I'd like to share is"
"The question that comes to mind is","The statement that comes to mind is"
"What I want to ask about is","What I want to declare is"
"What I'm trying to ask is","What I'm trying to state is"
